,sportnik,tipAktivnosti,zacetekAktivnosti,trajanjeAktivnosti,razdaljaAktivnosti,vzponAktivnosti,kalorijeAktivnosti,tempoAktivnosti,kadenceAvgAktivnosti,kadenceMaxAktivnosti
595,4,biking,2014-07-29T20:25:54.000Z,3413.0,21.329150390625,325.60003662109375,279,02:40,132,132.0
596,4,biking,2017-06-18T10:17:38.000Z,3688.0,9.85608984375,613.6000061035156,290,06:14,127,127.0
597,4,biking,2015-09-12T09:58:50.000Z,3770.0,12.8898701171875,525.6000061035156,319,04:52,0.0,0.0
598,4,biking,2015-04-04T07:17:26.000Z,11400.0,34.4702109375,1562.19970703125,878,05:30,115,115.0
599,4,biking,2014-09-25T07:01:09.000Z,12962.0,43.757671875,1971.1998901367188,1149,04:56,0.0,0.0
600,4,biking,2017-05-22T08:56:36.000Z,5995.0,21.83044921875,987.6002197265625,518,04:34,118,118.0
601,4,biking,2015-11-16T08:30:31.000Z,11235.0,30.5721796875,1365.2000732421875,826,06:07,0.0,0.0
602,4,biking,2016-05-20T07:54:52.000Z,3527.0,21.203470703125,358.80010986328125,442,02:46,110,110.0
603,4,biking,2016-10-08T06:44:48.000Z,7684.0,41.7595,885.5999767631292,1216,03:04,130,130.0
604,4,biking,2016-08-28T10:08:24.000Z,7548.0,26.52301953125,1186.6002197265625,1123,04:44,108,121.0
605,4,biking,2017-02-05T09:57:45.000Z,10566.0,52.12583984375,1362.4003700911999,1362,03:22,115,115.0
606,4,biking,2016-02-06T09:07:54.000Z,12694.0,47.089890625,1591.800048828125,1567,04:29,0.0,0.0
607,4,biking,2014-12-08T10:07:48.000Z,4261.0,6.8713798828125,328.5999755859375,447,10:20,0.0,0.0
608,4,biking,2017-04-22T08:57:21.000Z,5921.0,24.688380859375,964.0000610351562,537,03:59,105,114.0
609,4,biking,2017-09-30T08:00:00.000Z,1571.0,5.76943994140625,497.0,246,04:32,123,123.0
610,4,biking,2015-10-11T13:59:04.000Z,5458.0,23.121130859375,750.9999961853027,815,03:56,0.0,0.0
611,4,biking,2016-05-13T06:52:22.000Z,11872.0,40.21626171875,1136.4004211425781,1208,04:55,0.0,0.0
612,4,biking,2015-07-02T09:47:14.000Z,9344.0,24.249689453125,822.0001220703125,771,06:25,0.0,0.0
613,4,other,2016-01-06T09:22:47.000Z,6613.0,8.11818994140625,776.3997192382812,894,13:34,0.0,0.0
614,4,biking,2015-09-24T14:44:38.000Z,5701.0,32.310220703125,674.39990234375,451,02:56,0.0,0.0
615,4,biking,2014-10-10T04:35:48.000Z,3862.0,26.386849609375,104.19999694824219,359,02:26,107,115.0
616,4,biking,2014-12-26T09:22:35.000Z,11110.0,34.5353984375,1501.5999145507812,847,05:21,0.0,0.0
617,4,biking,2014-08-28T12:37:37.000Z,8306.0,34.56101171875,937.199951171875,688,04:00,110,116.0
618,4,biking,2015-08-06T14:38:39.000Z,9153.0,29.90198046875,1096.2001342773438,771,05:06,83,160.0
619,4,biking,2017-08-11T11:40:01.000Z,10571.0,38.915,1552.1995544433594,883,04:31,0.0,0.0
620,4,biking,2016-10-31T09:22:19.000Z,549.0,0.9447100219726563,205.0,131,09:41,0.0,0.0
621,4,biking,2016-05-22T09:19:23.000Z,6255.0,23.428740234375,1147.7998046875,1143,04:26,129,129.0
622,4,biking,2015-06-27T08:33:34.000Z,7912.0,30.827939453125,1409.39990234375,832,04:16,0.0,0.0
623,4,biking,2015-08-07T14:29:29.000Z,3328.0,18.636080078125,384.20001220703125,227,02:58,0.0,0.0
624,4,biking,2015-04-05T08:41:33.000Z,3610.0,11.362099609375,529.0001220703125,407,05:17,110,110.0
625,4,biking,2017-01-17T10:30:36.000Z,3438.0,0.14094000244140625,43.79974365234375,552,46:33,102,108.0
626,4,biking,2016-09-15T08:04:18.000Z,7988.0,30.9699609375,1359.0000610351562,1198,04:17,108,116.0
627,4,biking,2014-12-20T10:14:33.000Z,1684.0,5.25531005859375,191.79986572265625,159,05:20,104,104.0
628,4,biking,2015-10-11T12:41:58.000Z,1337.0,4.85589990234375,156.1999969482422,147,04:35,0.0,0.0
629,4,biking,2015-03-29T07:01:35.000Z,1760.0,0.05622000122070313,2.1999969482421875,175,41:45,0.0,0.0
630,4,biking,2017-03-23T09:00:32.000Z,9714.0,26.194880859375,1438.6000671386719,1325,06:10,110,131.0
631,4,biking,2016-10-07T06:05:46.000Z,16953.0,83.852421875,2522.2000210136175,2852,03:22,125,125.0
632,4,biking,2016-08-06T13:49:17.000Z,973.0,6.04177001953125,101.40000915527344,125,02:41,161,161.0
633,4,biking,2017-08-27T09:19:22.000Z,2259.0,0.0023399999141693116,4.7999267578125,221,09:44,0.0,0.0
634,4,biking,2016-01-30T08:09:47.000Z,14998.0,80.76328125,1709.5998229980469,2145,03:05,123,123.0
635,4,biking,2016-05-17T09:37:20.000Z,4486.0,28.471970703125,617.8001403808594,510,02:37,0.0,0.0
636,4,biking,2014-07-15T09:00:06.000Z,6341.0,15.7371796875,284.4000244140625,469,06:42,0.0,0.0
637,4,biking,2015-01-25T09:08:28.000Z,7386.0,25.2652890625,904.2001953125,794,04:52,104,104.0
638,4,biking,2014-07-21T08:06:27.000Z,8308.0,25.4949609375,1251.000244140625,706,05:25,0.0,0.0
639,4,biking,2014-08-01T14:19:16.000Z,3482.0,23.501810546875,370.6000671386719,289,02:28,0.0,0.0
640,4,biking,2017-06-28T06:57:16.000Z,5421.0,16.8389296875,739.5999755859375,512,05:21,110,115.0
641,4,biking,2017-05-18T11:34:09.000Z,6181.0,15.2943701171875,545.4000244140625,382,06:44,109,109.0
642,4,biking,2014-08-20T08:55:22.000Z,7473.0,18.360310546875,802.8001708984375,575,06:47,99,148.0
643,4,biking,2016-09-11T08:03:21.000Z,6211.0,28.01725,902.9999694824219,859,03:41,96,131.0
644,4,biking,2015-11-11T09:35:03.000Z,5765.0,33.13726171875,662.2000122070312,445,02:53,0.0,0.0
645,4,biking,2014-12-06T11:09:02.000Z,1204.0,0.23897000122070314,2.20001220703125,106,23:58,0.0,0.0
646,4,biking,2014-07-11T08:46:48.000Z,95.0,0.3604400024414062,6.2000732421875,5,04:23,75,75.0
647,4,biking,2017-04-13T07:22:09.000Z,12601.0,82.3780234375,1385.1999206542969,905,02:32,0.0,0.0
648,4,biking,2016-04-21T02:39:17.000Z,1602.0,8.24133984375,68.60000324249268,157,03:14,0.0,0.0
649,4,biking,2014-10-15T01:29:53.000Z,8054.0,37.34623046875,1087.4000568389893,1069,03:35,0.0,0.0
650,4,biking,2016-09-29T08:34:47.000Z,6952.0,25.277419921875,1186.5997924804688,1015,04:35,101,123.0
651,4,biking,2014-09-02T07:08:56.000Z,610.0,4.1560498046875,38.199981689453125,63,02:26,110,110.0
652,4,biking,2014-08-14T15:16:31.000Z,3604.0,13.747580078125,429.40008544921875,308,04:22,0.0,0.0
653,4,biking,2017-06-01T07:50:38.000Z,9241.0,28.446759765625,1555.4000549316406,812,05:24,108,123.0
654,4,biking,2017-06-22T08:21:17.000Z,8443.0,29.174259765625,1128.3998413085938,712,04:49,99,120.0
655,4,biking,2016-07-04T08:41:57.000Z,6554.0,25.047630859375,1065.8001403808594,938,04:21,129,129.0
